,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,am_pm
0,ARCE,Arco Platform Limited,2021-11-29T00:00:00.000Z,TNS,0.0,-2.53,,EST,0,EQUITY,AM
1,BBKCF,BIGG Digital Assets Inc.,2021-11-29T00:00:00.000Z,TNS,,,,EST,0,EQUITY,AM
2,SMEBF,Sime Darby Berhad,2021-11-29T00:00:00.000Z,TNS,,0.04,,EST,0,EQUITY,AM
3,LEXX,Lexaria Bioscience Corp.,2021-11-29T00:00:00.000Z,TNS,-0.23,,,EST,0,EQUITY,AM
4,GBDC,"Golub Capital BDC, Inc.",2021-11-29T00:00:00.000Z,TNS,0.3,0.42,41.89,EST,0,EQUITY,AM
5,MCLDF,mCloud Technologies Corp.,2021-11-29T00:00:00.000Z,TNS,-0.69,-0.55,20.29,EST,0,EQUITY,AM
6,FRO,Frontline Ltd.,2021-11-29T00:00:00.000Z,TNS,-0.17,-0.17,1.73,EST,0,EQUITY,AM
7,SNEX,StoneX Group Inc.,2021-11-29T00:00:00.000Z,TNS,1.44,0.49,-66.02,EST,0,EQUITY,AM
8,NVGS,Navigator Holdings Ltd.,2021-11-29T00:00:00.000Z,TNS,0.07,0.1,53.85,EST,0,EQUITY,AM
9,YJ,Yunji Inc.,2021-11-29T00:00:00.000Z,TNS,0.11,0.4,263.64,EST,0,EQUITY,AM
10,LIZI,Lizhi Inc.,2021-11-29T00:00:00.000Z,TNS,-0.77,-0.13,83.05,EST,0,EQUITY,AM
11,QH,Quhuo Limited,2021-11-29T00:00:00.000Z,TNS,0.71,0.56,-21.13,EST,0,EQUITY,AM
12,AMBA,"Ambarella, Inc.",2021-11-30T00:00:00.000Z,TNS,0.49,0.57,17.28,EST,0,EQUITY,AM
13,ARCE,Arco Platform Ltd,2021-11-29T16:25:00.000Z,TAS,0.0,-0.45,,EST,-18000000,EQUITY,PM
14,ALXXF,Avante Logixx Inc,2021-11-29T16:32:03.000Z,TAS,,,,EST,-18000000,EQUITY,PM
15,ADBRF,Aldebaran Resources Inc,2021-11-29T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
16,ARTL,Artelo Biosciences Inc,2021-11-29T08:30:00.000Z,TAS,,,,EST,-18000000,EQUITY,AM
17,AAMMF,Almadex Minerals Ltd,2021-11-29T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
18,ICLK,iClick Interactive Asia Group Limited,2021-11-30T00:00:00.000Z,TNS,0.04,0.01,-77.27,EST,0,EQUITY,AM
19,AIP,"Arteris, Inc.",2021-11-30T00:00:00.000Z,TNS,-0.27,-0.21,21.64,EST,0,EQUITY,AM
20,BIRD,"Allbirds, Inc.",2021-11-30T00:00:00.000Z,TNS,-0.12,-0.25,-108.33,EST,0,EQUITY,AM
21,BILZF,Ignite International Brands Ltd,2021-11-29T09:00:00.000Z,TAS,,,,EST,-18000000,EQUITY,AM
22,BQ,Boqii Holding Limited,2021-11-30T00:00:00.000Z,TNS,-0.42,-0.45,-7.14,EST,0,EQUITY,AM
23,BNS,The Bank of Nova Scotia,2021-11-30T00:00:00.000Z,TNS,1.91,2.1,9.78,EST,0,EQUITY,AM
24,BOX,"Box, Inc.",2021-11-30T00:00:00.000Z,TNS,0.21,0.22,5.77,EST,0,EQUITY,AM
25,RDHL,RedHill Biopharma Ltd.,2021-11-30T00:00:00.000Z,TNS,-0.21,-0.5,-141.55,EST,0,EQUITY,AM
26,BZQIF,Bezeq The Israel Telecommunication Corp. Ltd,2021-11-30T00:00:00.000Z,TNS,,0.1,,EST,0,EQUITY,AM
27,BNED,"Barnes & Noble Education, Inc.",2021-11-30T00:00:00.000Z,TNS,0.58,0.41,-29.31,EST,0,EQUITY,AM
28,BFRI,Biofrontera Inc.,2021-11-30T00:00:00.000Z,TNS,-0.58,-2.0,-244.83,EST,0,EQUITY,AM
29,BZUN,Baozun Inc.,2021-11-30T00:00:00.000Z,TNS,0.09,,,EST,0,EQUITY,AM
30,CTRN,"Citi Trends, Inc.",2021-11-30T00:00:00.000Z,TNS,0.45,1.03,129.91,EST,0,EQUITY,AM
31,HPE,Hewlett Packard Enterprise Company,2021-11-30T00:00:00.000Z,TNS,0.48,0.52,7.66,EST,0,EQUITY,AM
32,JKS,"JinkoSolar Holding Co., Ltd.",2021-11-30T00:00:00.000Z,TNS,0.02,0.05,127.27,EST,0,EQUITY,AM
33,SRHIF,Three Valley Copper Corp,2021-11-29T07:00:00.000Z,TAS,,,,EST,-18000000,EQUITY,AM
34,INEOF,INEO Tech Corp,2021-11-29T07:00:10.000Z,TAS,,,,EST,-18000000,EQUITY,AM
35,POPRF,PopReach Corp,2021-11-29T08:00:17.000Z,TAS,,,,EST,-18000000,EQUITY,AM
36,JRJC,China Finance Online Co Ltd,2021-11-29T08:45:04.000Z,TAS,,,,EST,-18000000,EQUITY,AM
37,SPOFF,Goldspot Discoveries Corp,2021-11-29T17:00:09.000Z,TAS,,,,EST,-18000000,EQUITY,PM
38,CHS,"Chico's FAS, Inc.",2021-11-30T00:00:00.000Z,TNS,-0.02,0.15,700.0,EST,0,EQUITY,AM
39,DPXCF,Delphx Capital Markets Inc,2021-11-29T10:59:00.000Z,TNS,,,,EST,-18000000,EQUITY,AM
40,MGLQF,Magna Gold Corp,2021-11-29T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
41,EMKR,EMCORE Corporation,2021-11-30T00:00:00.000Z,TNS,0.2,0.17,-12.82,EST,0,EQUITY,AM
42,CSTXF,CryptoStar Corp,2021-11-29T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
43,SDIG,"Stronghold Digital Mining, Inc.",2021-11-30T00:00:00.000Z,TNS,-0.17,-6.05,-3458.82,EST,0,EQUITY,AM
44,FLOOF,Flower One Holdings Inc,2021-11-30T01:38:00.000Z,TAS,-0.01,0.01,200.0,EST,-18000000,EQUITY,AM
45,TIGR,UP Fintech Holding Limited,2021-11-30T00:00:00.000Z,TNS,0.1,0.13,27.0,EST,0,EQUITY,AM
46,TIGR,UP Fintech Holding Ltd,2021-11-30T03:00:00.000Z,TAS,,,,EST,-18000000,EQUITY,AM
47,MOMO,Hello Group Inc,2021-11-30T02:57:54.000Z,TAS,,,,EST,-18000000,EQUITY,AM
48,GFS,GLOBALFOUNDRIES Inc.,2021-11-30T00:00:00.000Z,TNS,0.0,0.07,3400.0,EST,0,EQUITY,AM
49,MOMO,Hello Group Inc.,2021-11-30T00:00:00.000Z,TNS,2.02,2.61,29.27,EST,0,EQUITY,AM
50,GLBS,Globus Maritime Limited,2021-11-30T00:00:00.000Z,TNS,0.08,0.27,237.5,EST,0,EQUITY,AM
51,EM,Smart Share Global Limited,2021-11-30T00:00:00.000Z,TNS,-0.08,-0.28,-250.0,EST,0,EQUITY,AM
52,SNEX,Stonex Group Inc,2021-11-29T16:15:00.000Z,TAS,1.44,0.49,-65.97,EST,-18000000,EQUITY,PM
53,SFET,Safe-T Group Ltd,2021-11-30T00:00:00.000Z,TNS,-0.09,-0.1,-11.11,EST,0,EQUITY,AM
54,UCL,uCloudlink Group Inc.,2021-11-30T00:00:00.000Z,TNS,-0.02,-0.02,0.0,EST,0,EQUITY,AM
55,GTH,Genetron Holdings Limited,2021-11-30T00:00:00.000Z,TNS,,,,EST,0,EQUITY,AM
56,LNLHF,LeanLife Health Inc,2021-11-29T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
57,HBORF,Harborside Inc,2021-11-29T22:16:49.000Z,TAS,,,,EST,-18000000,EQUITY,PM
58,NVGS,Navigator Holdings Ltd,2021-11-29T17:35:28.000Z,TAS,0.06,0.1,66.67,EST,-18000000,EQUITY,PM
59,YOOIF,Yangaroo Inc,2021-11-29T18:30:06.000Z,TAS,,,,EST,-18000000,EQUITY,PM
60,YJ,Yunji Inc,2021-11-29T05:00:07.000Z,TAS,0.02,0.06,200.0,EST,-18000000,EQUITY,AM
61,TLTFF,Theralase Technologies Inc,2021-11-29T18:00:00.000Z,TAS,,,,EST,-18000000,EQUITY,PM
62,WDH,Waterdrop Inc.,2021-11-30T00:00:00.000Z,TNS,-0.1,-0.2,-90.48,EST,0,EQUITY,AM
63,PRSNF,Personas Social Inc,2021-11-29T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
64,LIZI,Lizhi Inc,2021-11-29T16:30:00.000Z,TAS,-0.12,-0.02,83.33,EST,-18000000,EQUITY,PM
65,INFA,Informatica Inc.,2021-11-30T00:00:00.000Z,TNS,0.18,0.23,27.07,EST,0,EQUITY,AM
66,NTAP,"NetApp, Inc.",2021-11-30T00:00:00.000Z,TNS,1.21,1.28,5.7,EST,0,EQUITY,AM
67,ZS,"Zscaler, Inc.",2021-11-30T00:00:00.000Z,TNS,0.12,0.14,16.67,EST,0,EQUITY,AM
68,CRM,"salesforce.com, inc.",2021-11-30T00:00:00.000Z,TNS,0.92,1.27,38.04,EST,0,EQUITY,AM
69,RDDTF,Radient Technologies Inc,2021-11-29T19:00:08.000Z,TAS,,,,EST,-18000000,EQUITY,PM
70,RVVTF,Revive Therapeutics Ltd,2021-11-29T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
71,RROYF,RE Royalties Ltd,2021-11-29T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
72,QH,Quhuo Ltd,2021-11-29T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
73,AMBA,Ambarella Inc,2021-11-30T16:05:00.000Z,TAS,0.49,0.57,16.33,EST,-18000000,EQUITY,PM
74,ICLK,iClick Interactive Asia Group Ltd,2021-11-30T13:30:00.000Z,BMO,0.04,0.01,-75.0,EST,-18000000,EQUITY,PM
75,BNS,Bank of Nova Scotia,2021-11-30T06:00:00.000Z,TAS,1.5,1.65,10.0,EST,-18000000,EQUITY,AM
76,BOX,Box Inc,2021-11-30T16:05:00.000Z,TAS,0.21,0.22,4.76,EST,-18000000,EQUITY,PM
77,BOSC,BOS Better Online Solutions Ltd,2021-11-30T07:59:36.000Z,TAS,,,,EST,-18000000,EQUITY,AM
78,BZUN,Baozun Inc,2021-11-30T05:05:00.000Z,TAS,,,,EST,-18000000,EQUITY,AM
79,BNED,Barnes & Noble Education Inc,2021-11-30T08:00:00.000Z,TAS,0.58,0.41,-29.31,EST,-18000000,EQUITY,AM
80,JKS,JinkoSolar Holding Co Ltd,2021-11-30T05:00:06.000Z,TAS,0.02,0.05,150.0,EST,-18000000,EQUITY,AM
81,HPE,Hewlett Packard Enterprise Co,2021-11-30T16:05:00.000Z,TAS,0.48,0.52,8.33,EST,-18000000,EQUITY,PM
82,CTRN,Citi Trends Inc,2021-11-30T06:45:00.000Z,TAS,0.45,1.03,128.89,EST,-18000000,EQUITY,AM
83,CNTMF,Cansortium Inc,2021-11-30T21:00:00.000Z,AMC,,,,EST,-18000000,EQUITY,PM
84,CHS,Chico's FAS Inc,2021-11-30T07:00:19.000Z,TAS,-0.02,0.15,850.0,EST,-18000000,EQUITY,AM
85,EMKR,EMCORE Corp,2021-11-30T21:00:00.000Z,AMC,0.19,0.17,-10.53,EST,-18000000,EQUITY,PM
86,WILC,G Willi-Food International Ltd,2021-11-30T10:00:00.000Z,TAS,,,,EST,-18000000,EQUITY,AM
87,GLBS,Globus Maritime Ltd,2021-11-30T21:00:00.000Z,AMC,0.08,0.27,237.5,EST,-18000000,EQUITY,PM
88,NXGWF,Next Green Wave Holdings Inc,2021-11-30T08:30:17.000Z,TAS,,,,EST,-18000000,EQUITY,AM
89,GTH,Genetron Holdings Ltd,2021-11-30T13:30:00.000Z,BMO,,,,EST,-18000000,EQUITY,PM
90,NTAP,NetApp Inc,2021-11-30T16:01:00.000Z,TAS,1.21,1.28,5.79,EST,-18000000,EQUITY,PM
91,CRM,Salesforce.Com Inc,2021-11-30T16:05:00.000Z,TAS,0.92,1.27,38.04,EST,-18000000,EQUITY,PM
92,ZS,Zscaler Inc,2021-11-30T16:05:01.000Z,TAS,0.12,0.14,16.67,EST,-18000000,EQUITY,PM
